"date","geo","weekly_incidence"
2014-03-23,"Liberia",1
2014-03-30,"Liberia",1
2014-04-06,"Liberia",3
2014-04-13,"Liberia",1
2014-04-20,"Liberia",1
2014-05-04,"Liberia",1
2014-05-11,"Liberia",4
2014-05-25,"Liberia",1
2014-06-08,"Liberia",3
2014-06-15,"Liberia",18
2014-06-22,"Liberia",27
2014-06-29,"Liberia",28
2014-07-06,"Liberia",25
2014-07-13,"Liberia",36
2014-07-20,"Liberia",38
2014-07-27,"Liberia",89
2014-08-03,"Liberia",108
2014-08-10,"Liberia",231
2014-08-17,"Liberia",330
2014-08-24,"Liberia",462
2014-08-31,"Liberia",445
2014-09-07,"Liberia",471
2014-09-14,"Liberia",474
2014-09-21,"Liberia",490
2014-09-28,"Liberia",398
2014-10-05,"Liberia",316
2014-10-12,"Liberia",219
2014-10-19,"Liberia",164
2014-10-26,"Liberia",104
2014-11-02,"Liberia",90
2014-11-09,"Liberia",88
2014-11-16,"Liberia",4
2014-05-11,"Sierra Leone",2
2014-05-25,"Sierra Leone",3
2014-06-01,"Sierra Leone",20
2014-06-08,"Sierra Leone",37
2014-06-15,"Sierra Leone",64
2014-06-22,"Sierra Leone",63
2014-06-29,"Sierra Leone",53
2014-07-06,"Sierra Leone",94
2014-07-13,"Sierra Leone",111
2014-07-20,"Sierra Leone",82
2014-07-27,"Sierra Leone",100
2014-08-03,"Sierra Leone",147
2014-08-10,"Sierra Leone",143
2014-08-17,"Sierra Leone",136
2014-08-24,"Sierra Leone",180
2014-08-31,"Sierra Leone",220
2014-09-07,"Sierra Leone",220
2014-09-14,"Sierra Leone",223
2014-09-21,"Sierra Leone",393
2014-09-28,"Sierra Leone",402
2014-10-05,"Sierra Leone",410
2014-10-12,"Sierra Leone",443
2014-10-19,"Sierra Leone",519
2014-10-26,"Sierra Leone",496
2014-11-02,"Sierra Leone",567
2014-11-09,"Sierra Leone",575
2014-11-16,"Sierra Leone",212
2014-11-23,"Sierra Leone",26
2014-01-05,"Guinea",2
2014-01-26,"Guinea",5
2014-02-02,"Guinea",3
2014-02-09,"Guinea",5
2014-02-16,"Guinea",3
2014-02-23,"Guinea",5
2014-03-02,"Guinea",9
2014-03-09,"Guinea",7
2014-03-16,"Guinea",27
2014-03-23,"Guinea",17
2014-03-30,"Guinea",28
2014-04-06,"Guinea",28
2014-04-13,"Guinea",27
2014-04-20,"Guinea",16
2014-04-27,"Guinea",10
2014-05-04,"Guinea",12
2014-05-11,"Guinea",11
2014-05-18,"Guinea",8
2014-05-25,"Guinea",27
2014-06-01,"Guinea",50
2014-06-08,"Guinea",27
2014-06-15,"Guinea",34
2014-06-22,"Guinea",18
2014-06-29,"Guinea",24
2014-07-06,"Guinea",4
2014-07-13,"Guinea",6
2014-07-20,"Guinea",8
2014-07-27,"Guinea",42
2014-08-03,"Guinea",26
2014-08-10,"Guinea",21
2014-08-17,"Guinea",44
2014-08-24,"Guinea",76
2014-08-31,"Guinea",104
2014-09-07,"Guinea",103
2014-09-14,"Guinea",94
2014-09-21,"Guinea",82
2014-09-28,"Guinea",130
2014-10-05,"Guinea",97
2014-10-12,"Guinea",140
2014-10-19,"Guinea",118
2014-10-26,"Guinea",87
2014-11-02,"Guinea",88
2014-11-09,"Guinea",153
2014-11-16,"Guinea",95
2014-11-23,"Guinea",106
