date,time,obs
1971-08-13,1,0
1971-08-14,2,1
1971-08-15,3,0
1971-08-16,4,10
1971-08-17,5,6
1971-08-18,6,32
1971-08-19,7,47
1971-08-20,8,37
1971-08-21,9,29
1971-08-22,10,11
1971-08-23,11,13
1971-08-24,12,8
1971-08-25,13,2
1971-08-26,14,2
1971-08-27,15,2
1971-08-28,16,0
1971-08-29,17,2
1971-08-30,18,1
1971-08-31,19,2
1971-09-01,20,2
1971-09-02,21,5
1971-09-03,22,2
1971-09-04,23,3
1971-09-05,24,2
1971-09-06,25,3
1971-09-07,26,5
1971-09-08,27,7
1971-09-09,28,8
1971-09-10,29,5
1971-09-11,30,7
1971-09-12,31,4
1971-09-13,32,12
1971-09-14,33,7
1971-09-15,34,5
1971-09-16,35,3
1971-09-17,36,4
1971-09-18,37,1
1971-09-19,38,0
1971-09-20,39,5
1971-09-21,40,2
1971-09-22,41,2
1971-09-23,42,0
1971-09-24,43,6
1971-09-25,44,1
1971-09-26,45,1
1971-09-27,46,2
1971-09-28,47,0
1971-09-29,48,0
1971-09-30,49,0
1971-10-01,50,0
1971-10-02,51,2
1971-10-03,52,0
1971-10-04,53,0
1971-10-05,54,0
1971-10-06,55,0
1971-10-07,56,0
1971-10-08,57,0
1971-10-09,58,0
1971-10-10,59,1
