"date","daily_incidence","geo"
1976-08-31,1,"Yambuku"
1976-09-01,1,"Yambuku"
1976-09-02,1,"Yambuku"
1976-09-03,5,"Yambuku"
1976-09-04,1,"Yambuku"
1976-09-05,1,"Yambuku"
1976-09-06,3,"Yambuku"
1976-09-07,2,"Yambuku"
1976-09-08,6,"Yambuku"
1976-09-09,10,"Yambuku"
1976-09-10,4,"Yambuku"
1976-09-11,9,"Yambuku"
1976-09-12,9,"Yambuku"
1976-09-13,8,"Yambuku"
1976-09-14,10,"Yambuku"
1976-09-15,6,"Yambuku"
1976-09-16,6,"Yambuku"
1976-09-17,5,"Yambuku"
1976-09-18,8,"Yambuku"
1976-09-19,11,"Yambuku"
1976-09-20,6,"Yambuku"
1976-09-21,16,"Yambuku"
1976-09-22,12,"Yambuku"
1976-09-23,12,"Yambuku"
1976-09-24,11,"Yambuku"
1976-09-25,7,"Yambuku"
1976-09-26,7,"Yambuku"
1976-09-27,4,"Yambuku"
1976-09-28,5,"Yambuku"
1976-09-29,3,"Yambuku"
1976-09-30,8,"Yambuku"
1976-10-01,3,"Yambuku"
1976-10-02,3,"Yambuku"
1976-10-03,8,"Yambuku"
1976-10-04,5,"Yambuku"
1976-10-05,7,"Yambuku"
1976-10-06,5,"Yambuku"
1976-10-07,2,"Yambuku"
1976-10-08,4,"Yambuku"
1976-10-09,4,"Yambuku"
1976-10-10,3,"Yambuku"
1976-10-11,6,"Yambuku"
1976-10-12,2,"Yambuku"
1976-10-13,1,"Yambuku"
1976-10-14,0,"Yambuku"
1976-10-15,0,"Yambuku"
1976-10-16,0,"Yambuku"
1976-10-17,1,"Yambuku"
1976-10-18,1,"Yambuku"
1976-10-19,2,"Yambuku"
1976-10-20,0,"Yambuku"
1976-10-21,0,"Yambuku"
1976-10-22,0,"Yambuku"
1976-10-23,1,"Yambuku"
1976-10-24,0,"Yambuku"
1976-10-25,0,"Yambuku"
1976-10-26,0,"Yambuku"
1976-10-27,0,"Yambuku"
1976-10-28,0,"Yambuku"
1976-10-29,0,"Yambuku"
1976-10-30,0,"Yambuku"
1976-10-31,0,"Yambuku"
1976-11-01,0,"Yambuku"
1976-11-02,0,"Yambuku"
1976-11-03,0,"Yambuku"
1976-11-04,0,"Yambuku"
1976-11-05,0,"Yambuku"
